Date,1,2,3,4,5,6,7,8,9,10,11,12
1,0,0,0,0,Trace,0,4.1,2.7,32,2.9,0,0
2,0,Trace,Trace,0,0,Trace,2.1,6.1,9.8,0,0.1,0
3,0,0,0,0,1.9,Trace,15.4,Trace,0.3,0,8.3,0
4,0.2,0,Trace,0,0.8,12.4,3.4,5,0,0,Trace,0
5,0.2,0,0,0,Trace,28.2,1.5,0.5,0.1,0,Trace,Trace
6,3.7,0,Trace,Trace,1,58.3,5,0,0,0,0,0.1
7,16.2,0,Trace,Trace,6.7,47.4,5.2,0,Trace,0,0,1
8,11.6,0,20.3,0,28.4,70.2,14.4,0.5,24.6,2,Trace,0
9,9.9,0,0,0,5.4,4.8,11.3,Trace,16.7,0.6,0,Trace
10,Trace,0,0,0,8,0,1.3,47.9,0.2,42.8,Trace,0.2
11,Trace,0,0,0,1,0,0,51.9,0,0,0,Trace
12,0,0,0,0,0,39.6,Trace,18.9,Trace,0.3,Trace,0
13,0,0,0,Trace,0,109.3,50.4,0.1,2.5,0.4,Trace,0
14,0,0,2.4,Trace,0,1.3,52.7,32.9,0,0.6,Trace,0
15,0,0,Trace,17.2,0,0.2,67.4,2.2,Trace,31.4,Trace,0
16,0,0,0,2,0,0,5.8,3.2,167.5,8.9,1.1,Trace
17,0,Trace,Trace,0.2,0,Trace,6.5,36.1,12,1.5,0.5,0
18,0,0,Trace,0.1,0,Trace,29.6,21.8,1.2,12.6,0,0
19,0.8,Trace,Trace,0,0,Trace,17.3,31.2,0,0.2,0,0
20,Trace,Trace,Trace,Trace,0,Trace,7.1,61.1,0,Trace,0.1,0
21,0,Trace,0,Trace,0,2.6,0,25.7,0,Trace,2.4,0
22,0,2.3,0,Trace,0,32.9,Trace,26.4,0,Trace,0.2,0
23,0,2,0,Trace,0,25.6,30.8,24.9,Trace,0.1,Trace,10.5
24,0,0.2,Trace,8.2,0,18.1,0.1,0.1,72.2,Trace,Trace,0.1
25,0,Trace,Trace,Trace,Trace,6.2,2.7,0,34.5,0,21,0
26,Trace,Trace,0,0.3,0.9,1.7,3.4,80.2,9.7,0,15.7,0
27,Trace,0,0,Trace,3.4,Trace,0.3,27.3,Trace,0,16.3,Trace
28,0,Trace,0,0.1,0,0,0,71.6,0,0,7.7,Trace
29,0.1,,0,Trace,0,Trace,0,23.3,0,0,Trace,Trace
30,0.2,,0,Trace,0,Trace,0,6.3,0,0,0,Trace
31,19.3,,0,,0,,3.3,7.2,,0,,0
